clip,feature_path,label_path
000,data/features/000.mp4_features.npy,data/labels/000.csv
001,data/features/001.mp4_features.npy,data/labels/001.csv
002,data/features/002.mp4_features.npy,data/labels/002.csv
003,data/features/003.mp4_features.npy,data/labels/003.csv
004,data/features/004.mp4_features.npy,data/labels/004.csv
005,data/features/005.mp4_features.npy,data/labels/005.csv
006,data/features/006.mp4_features.npy,data/labels/006.csv
007,data/features/007.mp4_features.npy,data/labels/007.csv
008,data/features/008.mp4_features.npy,data/labels/008.csv
009,data/features/009.mp4_features.npy,data/labels/009.csv
010,data/features/010.mp4_features.npy,data/labels/010.csv
011,data/features/011.mp4_features.npy,data/labels/011.csv
012,data/features/012.mp4_features.npy,data/labels/012.csv
013,data/features/013.mp4_features.npy,data/labels/013.csv
014,data/features/014.mp4_features.npy,data/labels/014.csv
015,data/features/015.mp4_features.npy,data/labels/015.csv
016,data/features/016.mp4_features.npy,data/labels/016.csv
017,data/features/017.mp4_features.npy,data/labels/017.csv
018,data/features/018.mp4_features.npy,data/labels/018.csv
019,data/features/019.mp4_features.npy,data/labels/019.csv
020,data/features/020.mp4_features.npy,data/labels/020.csv
021,data/features/021.mp4_features.npy,data/labels/021.csv
022,data/features/022.mp4_features.npy,data/labels/022.csv
023,data/features/023.mp4_features.npy,data/labels/023.csv
024,data/features/024.mp4_features.npy,data/labels/024.csv
025,data/features/025.mp4_features.npy,data/labels/025.csv
026,data/features/026.mp4_features.npy,data/labels/026.csv
027,data/features/027.mp4_features.npy,data/labels/027.csv
028,data/features/028.mp4_features.npy,data/labels/028.csv
029,data/features/029.mp4_features.npy,data/labels/029.csv
030,data/features/030.mp4_features.npy,data/labels/030.csv
031,data/features/031.mp4_features.npy,data/labels/031.csv
032,data/features/032.mp4_features.npy,data/labels/032.csv
033,data/features/033.mp4_features.npy,data/labels/033.csv
034,data/features/034.mp4_features.npy,data/labels/034.csv
035,data/features/035.mp4_features.npy,data/labels/035.csv
036,data/features/036.mp4_features.npy,data/labels/036.csv
037,data/features/037.mp4_features.npy,data/labels/037.csv
038,data/features/038.mp4_features.npy,data/labels/038.csv
039,data/features/039.mp4_features.npy,data/labels/039.csv
040,data/features/040.mp4_features.npy,data/labels/040.csv
041,data/features/041.mp4_features.npy,data/labels/041.csv
042,data/features/042.mp4_features.npy,data/labels/042.csv
043,data/features/043.mp4_features.npy,data/labels/043.csv
044,data/features/044.mp4_features.npy,data/labels/044.csv
045,data/features/045.mp4_features.npy,data/labels/045.csv
046,data/features/046.mp4_features.npy,data/labels/046.csv
047,data/features/047.mp4_features.npy,data/labels/047.csv
048,data/features/048.mp4_features.npy,data/labels/048.csv
049,data/features/049.mp4_features.npy,data/labels/049.csv
050,data/features/050.mp4_features.npy,data/labels/050.csv
051,data/features/051.mp4_features.npy,data/labels/051.csv
052,data/features/052.mp4_features.npy,data/labels/052.csv
053,data/features/053.mp4_features.npy,data/labels/053.csv
054,data/features/054.mp4_features.npy,data/labels/054.csv
055,data/features/055.mp4_features.npy,data/labels/055.csv
056,data/features/056.mp4_features.npy,data/labels/056.csv
057,data/features/057.mp4_features.npy,data/labels/057.csv
058,data/features/058.mp4_features.npy,data/labels/058.csv
059,data/features/059.mp4_features.npy,data/labels/059.csv
060,data/features/060.mp4_features.npy,data/labels/060.csv
061,data/features/061.mp4_features.npy,data/labels/061.csv
062,data/features/062.mp4_features.npy,data/labels/062.csv
063,data/features/063.mp4_features.npy,data/labels/063.csv
064,data/features/064.mp4_features.npy,data/labels/064.csv
065,data/features/065.mp4_features.npy,data/labels/065.csv
066,data/features/066.mp4_features.npy,data/labels/066.csv
067,data/features/067.mp4_features.npy,data/labels/067.csv
068,data/features/068.mp4_features.npy,data/labels/068.csv
069,data/features/069.mp4_features.npy,data/labels/069.csv
070,data/features/070.mp4_features.npy,data/labels/070.csv
071,data/features/071.mp4_features.npy,data/labels/071.csv
072,data/features/072.mp4_features.npy,data/labels/072.csv
073,data/features/073.mp4_features.npy,data/labels/073.csv
074,data/features/074.mp4_features.npy,data/labels/074.csv
075,data/features/075.mp4_features.npy,data/labels/075.csv
076,data/features/076.mp4_features.npy,data/labels/076.csv
077,data/features/077.mp4_features.npy,data/labels/077.csv
078,data/features/078.mp4_features.npy,data/labels/078.csv
079,data/features/079.mp4_features.npy,data/labels/079.csv
080,data/features/080.mp4_features.npy,data/labels/080.csv
081,data/features/081.mp4_features.npy,data/labels/081.csv
082,data/features/082.mp4_features.npy,data/labels/082.csv
083,data/features/083.mp4_features.npy,data/labels/083.csv
084,data/features/084.mp4_features.npy,data/labels/084.csv
085,data/features/085.mp4_features.npy,data/labels/085.csv
086,data/features/086.mp4_features.npy,data/labels/086.csv
087,data/features/087.mp4_features.npy,data/labels/087.csv
088,data/features/088.mp4_features.npy,data/labels/088.csv
089,data/features/089.mp4_features.npy,data/labels/089.csv
090,data/features/090.mp4_features.npy,data/labels/090.csv
091,data/features/091.mp4_features.npy,data/labels/091.csv
092,data/features/092.mp4_features.npy,data/labels/092.csv
093,data/features/093.mp4_features.npy,data/labels/093.csv
094,data/features/094.mp4_features.npy,data/labels/094.csv
095,data/features/095.mp4_features.npy,data/labels/095.csv
096,data/features/096.mp4_features.npy,data/labels/096.csv
097,data/features/097.mp4_features.npy,data/labels/097.csv
098,data/features/098.mp4_features.npy,data/labels/098.csv
099,data/features/099.mp4_features.npy,data/labels/099.csv
100,data/features/100.mp4_features.npy,data/labels/100.csv
101,data/features/101.mp4_features.npy,data/labels/101.csv
102,data/features/102.mp4_features.npy,data/labels/102.csv
103,data/features/103.mp4_features.npy,data/labels/103.csv
104,data/features/104.mp4_features.npy,data/labels/104.csv
105,data/features/105.mp4_features.npy,data/labels/105.csv
106,data/features/106.mp4_features.npy,data/labels/106.csv
107,data/features/107.mp4_features.npy,data/labels/107.csv
108,data/features/108.mp4_features.npy,data/labels/108.csv
109,data/features/109.mp4_features.npy,data/labels/109.csv
110,data/features/110.mp4_features.npy,data/labels/110.csv
111,data/features/111.mp4_features.npy,data/labels/111.csv
112,data/features/112.mp4_features.npy,data/labels/112.csv
113,data/features/113.mp4_features.npy,data/labels/113.csv
114,data/features/114.mp4_features.npy,data/labels/114.csv
115,data/features/115.mp4_features.npy,data/labels/115.csv
116,data/features/116.mp4_features.npy,data/labels/116.csv
117,data/features/117.mp4_features.npy,data/labels/117.csv
118,data/features/118.mp4_features.npy,data/labels/118.csv
119,data/features/119.mp4_features.npy,data/labels/119.csv
120,data/features/120.mp4_features.npy,data/labels/120.csv
121,data/features/121.mp4_features.npy,data/labels/121.csv
122,data/features/122.mp4_features.npy,data/labels/122.csv
123,data/features/123.mp4_features.npy,data/labels/123.csv
124,data/features/124.mp4_features.npy,data/labels/124.csv
125,data/features/125.mp4_features.npy,data/labels/125.csv
126,data/features/126.mp4_features.npy,data/labels/126.csv
127,data/features/127.mp4_features.npy,data/labels/127.csv
128,data/features/128.mp4_features.npy,data/labels/128.csv
129,data/features/129.mp4_features.npy,data/labels/129.csv
130,data/features/130.mp4_features.npy,data/labels/130.csv
131,data/features/131.mp4_features.npy,data/labels/131.csv
132,data/features/132.mp4_features.npy,data/labels/132.csv
133,data/features/133.mp4_features.npy,data/labels/133.csv
134,data/features/134.mp4_features.npy,data/labels/134.csv
135,data/features/135.mp4_features.npy,data/labels/135.csv
136,data/features/136.mp4_features.npy,data/labels/136.csv
137,data/features/137.mp4_features.npy,data/labels/137.csv
138,data/features/138.mp4_features.npy,data/labels/138.csv
139,data/features/139.mp4_features.npy,data/labels/139.csv
140,data/features/140.mp4_features.npy,data/labels/140.csv
141,data/features/141.mp4_features.npy,data/labels/141.csv
142,data/features/142.mp4_features.npy,data/labels/142.csv
143,data/features/143.mp4_features.npy,data/labels/143.csv
144,data/features/144.mp4_features.npy,data/labels/144.csv
145,data/features/145.mp4_features.npy,data/labels/145.csv
146,data/features/146.mp4_features.npy,data/labels/146.csv
147,data/features/147.mp4_features.npy,data/labels/147.csv
148,data/features/148.mp4_features.npy,data/labels/148.csv
149,data/features/149.mp4_features.npy,data/labels/149.csv
150,data/features/150.mp4_features.npy,data/labels/150.csv
151,data/features/151.mp4_features.npy,data/labels/151.csv
152,data/features/152.mp4_features.npy,data/labels/152.csv
153,data/features/153.mp4_features.npy,data/labels/153.csv
154,data/features/154.mp4_features.npy,data/labels/154.csv
155,data/features/155.mp4_features.npy,data/labels/155.csv
156,data/features/156.mp4_features.npy,data/labels/156.csv
1Politician_id1_AOC_vid1_speechCongress2019_000,data/features/1Politician_id1_AOC_vid1_speechCongress2019_000.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_000.csv
1Politician_id1_AOC_vid1_speechCongress2019_001,data/features/1Politician_id1_AOC_vid1_speechCongress2019_001.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_001.csv
1Politician_id1_AOC_vid1_speechCongress2019_002,data/features/1Politician_id1_AOC_vid1_speechCongress2019_002.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_002.csv
1Politician_id1_AOC_vid1_speechCongress2019_003,data/features/1Politician_id1_AOC_vid1_speechCongress2019_003.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_003.csv
1Politician_id1_AOC_vid1_speechCongress2019_004,data/features/1Politician_id1_AOC_vid1_speechCongress2019_004.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_004.csv
1Politician_id1_AOC_vid1_speechCongress2019_005,data/features/1Politician_id1_AOC_vid1_speechCongress2019_005.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_005.csv
1Politician_id1_AOC_vid1_speechCongress2019_006,data/features/1Politician_id1_AOC_vid1_speechCongress2019_006.mp4_features.npy,data/labels/1Politician_id1_AOC_vid1_speechCongress2019_006.csv
