framename,precision_Gesture,recall_Gesture,f1_Gesture,precision_NoGesture,recall_NoGesture,f1_NoGesture,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
000,0.8883928571428571,1.0,0.9408983451536643,1.0,0.7863247863247863,0.8803827751196173,0.9441964285714286,0.8931623931623931,0.9106405601366407,0.9297157549728752,0.9208860759493671,0.9184922638435898,0.9208860759493671
001,0.0,0.0,0.0,1.0,0.9873417721518988,0.9936305732484076,0.5,0.4936708860759494,0.4968152866242038,1.0,0.9873417721518988,0.9936305732484075,0.9873417721518988
002,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
004,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
005,0.8823529411764706,0.8015267175572519,0.84,0.3333333333333333,0.48148148148148145,0.3939393939393939,0.6078431372549019,0.6415040995193667,0.616969696969697,0.7885331347728964,0.7468354430379747,0.7637744533947065,0.7468354430379747
006,0.8,0.35294117647058826,0.4897959183673469,0.9269102990033222,0.9893617021276596,0.9571183533447685,0.8634551495016611,0.6711514392991239,0.7234571358560578,0.913255393414357,0.9208860759493671,0.9068368255307422,0.9208860759493671
007,0.0,0.0,0.0,1.0,0.9683544303797469,0.9839228295819936,0.5,0.48417721518987344,0.4919614147909968,1.0,0.9683544303797469,0.9839228295819937,0.9683544303797469
008,0.0,0.0,0.0,1.0,0.9873417721518988,0.9936305732484076,0.5,0.4936708860759494,0.4968152866242038,1.0,0.9873417721518988,0.9936305732484075,0.9873417721518988
009,0.0,0.0,0.0,1.0,0.759493670886076,0.8633093525179856,0.5,0.379746835443038,0.4316546762589928,1.0,0.759493670886076,0.8633093525179856,0.759493670886076
010,0.0,0.0,0.0,1.0,0.7215189873417721,0.8382352941176471,0.5,0.36075949367088606,0.41911764705882354,1.0,0.7215189873417721,0.8382352941176471,0.7215189873417721
011,0.0,0.0,0.0,1.0,0.9556962025316456,0.9773462783171522,0.5,0.4778481012658228,0.4886731391585761,1.0,0.9556962025316456,0.9773462783171522,0.9556962025316456
012,0.0,0.0,0.0,1.0,0.8639240506329114,0.9269949066213922,0.5,0.4319620253164557,0.4634974533106961,1.0,0.8639240506329114,0.9269949066213923,0.8639240506329114
013,0.0,0.0,0.0,1.0,0.9841772151898734,0.9920255183413078,0.5,0.4920886075949367,0.4960127591706539,1.0,0.9841772151898734,0.9920255183413078,0.9841772151898734
014,0.0,0.0,0.0,1.0,0.9588607594936709,0.9789983844911146,0.5,0.47943037974683544,0.4894991922455573,1.0,0.9588607594936709,0.9789983844911146,0.9588607594936709
015,0.0,0.0,0.0,1.0,0.6107594936708861,0.7583497053045186,0.5,0.30537974683544306,0.3791748526522593,1.0,0.6107594936708861,0.7583497053045186,0.6107594936708861
016,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
017,0.0,0.0,0.0,1.0,0.7215189873417721,0.8382352941176471,0.5,0.36075949367088606,0.41911764705882354,1.0,0.7215189873417721,0.8382352941176471,0.7215189873417721
018,0.0,0.0,0.0,1.0,0.14873417721518986,0.25895316804407714,0.5,0.07436708860759493,0.12947658402203857,1.0,0.14873417721518986,0.25895316804407714,0.14873417721518986
019,0.0,0.0,0.0,1.0,0.5316455696202531,0.6942148760330579,0.5,0.26582278481012656,0.34710743801652894,1.0,0.5316455696202531,0.6942148760330579,0.5316455696202531
020,0.7156398104265402,0.8579545454545454,0.7803617571059431,0.7524752475247525,0.5588235294117647,0.6413502109704642,0.7340575289756464,0.7083890374331551,0.7108559840382036,0.7316962830078122,0.7275641025641025,0.7197669805853497,0.7275641025641025
021,0.0,0.0,0.0,1.0,0.8575949367088608,0.9233390119250426,0.5,0.4287974683544304,0.4616695059625213,1.0,0.8575949367088608,0.9233390119250428,0.8575949367088608
022,0.0,0.0,0.0,1.0,0.9936708860759493,0.9968253968253968,0.5,0.49683544303797467,0.4984126984126984,1.0,0.9936708860759493,0.9968253968253968,0.9936708860759493
023,0.9111111111111111,0.2265193370165746,0.36283185840707965,0.47368421052631576,0.9692307692307692,0.6363636363636364,0.6923976608187135,0.597875053123672,0.499597747385358,0.7282638536319361,0.5369774919614148,0.4771699006397239,0.5369774919614148
024,0.8888888888888888,0.3368421052631579,0.48854961832061067,0.775,0.9819004524886877,0.8662674650698603,0.8319444444444444,0.6593712788759228,0.6774085416952355,0.8092387482419128,0.7879746835443038,0.7527130491167632,0.7879746835443038
