index,filename,label
0,video43-000.mp4,representing
1,video43-001.mp4,representing
2,video43-002.mp4,representing
3,video43-003.mp4,representing
4,video43-004.mp4,representing
5,video43-005.mp4,representing
6,video43-006.mp4,representing
7,video43-007.mp4,representing
8,video43-008.mp4,representing
9,video43-009.mp4,representing
10,video43-010.mp4,representing
11,video43-011.mp4,representing
12,video43-012.mp4,representing
13,video43-013.mp4,emblematic
14,video43-014.mp4,emblematic
15,video43-015.mp4,emblematic
16,video43-016.mp4,representing
17,video43-017.mp4,emblematic
18,video43-018.mp4,representing
19,video43-019.mp4,representing
20,video43-020.mp4,representing
21,video43-021.mp4,representing
22,video43-022.mp4,representing
23,video43-023.mp4,representing
24,video43-024.mp4,representing
25,video43-025.mp4,representing
26,video43-026.mp4,indexing
27,video43-027.mp4,emblematic
28,video43-028.mp4,emblematic
29,video43-029.mp4,emblematic
30,video43-030.mp4,emblematic
31,video43-031.mp4,representing
32,video43-032.mp4,representing
33,video43-033.mp4,representing
34,video43-034.mp4,representing
35,video43-035.mp4,representing
36,video43-036.mp4,representing
37,video43-037.mp4,representing
38,video43-038.mp4,representing
39,video43-039.mp4,representing
40,video43-040.mp4,representing
41,video43-041.mp4,representing
