framename,precision,recall,f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,accuracy
000,0.9683544303797469,0.9683544303797469,0.9683544303797469,0.657051282051282,0.4166666666666667,0.4617886178861788,0.9691759980525803,0.9683544303797469,0.9600185242358753,0.9683544303797469
001,0.8037974683544303,0.8037974683544303,0.8037974683544303,0.671957671957672,0.8888888888888888,0.7037735849056604,0.8682941531042798,0.8037974683544303,0.8036720802483879,0.8037974683544303
002,0.20253164556962025,0.20253164556962025,0.20253164556962025,0.3399209486166008,0.3967741935483871,0.11951429591815299,0.9813253614849652,0.20253164556962022,0.31432465119470154,0.20253164556962025
003,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.29124579124579125,0.45348837209302323,0.34037558685446007,0.15573456079785195,0.35443037974683544,0.2159030130147976,0.35443037974683544
004,0.30063291139240506,0.30063291139240506,0.30063291139240506,0.4328042328042328,0.5,0.3754414561260527,0.09509744826200522,0.30063291139240506,0.14095302941206814,0.30063291139240506
005,0.2911392405063291,0.2911392405063291,0.2911392405063291,0.39054726368159204,0.3903345724907063,0.1950190408789135,0.8762516531267712,0.2911392405063291,0.2912746404159772,0.2911392405063291
006,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.031746031746031744,0.057971014492753624,1.0,0.09523809523809523,0.17391304347826086,0.09523809523809523
007,0.3987341772151899,0.3987341772151899,0.3987341772151899,0.4601092896174863,0.3500837520938023,0.21558755450491915,0.7693608632496368,0.3987341772151899,0.2625539642397762,0.3987341772151899
008,0.34177215189873417,0.34177215189873417,0.34177215189873417,0.39763779527559057,0.40726817042606517,0.2288364221037488,0.8716859364098475,0.34177215189873417,0.35578052644602337,0.34177215189873417
009,0.5537974683544303,0.5537974683544303,0.5537974683544303,0.43027210884353745,0.4857881136950904,0.3594174866145264,0.868913071557737,0.5537974683544303,0.5937340654404085,0.5537974683544303
010,0.8734177215189873,0.8734177215189873,0.8734177215189873,0.6143955917805074,0.4808324205914567,0.5156195292744602,0.8919516862863628,0.8734177215189873,0.8606706078460824,0.8734177215189873
011,0.5870307167235495,0.5870307167235495,0.5870307167235495,0.3333333333333333,0.19567690557451647,0.24659498207885303,1.0,0.5870307167235495,0.7397849462365591,0.5870307167235495
012,0.2,0.2,0.2,0.3333333333333333,0.06666666666666667,0.1111111111111111,1.0,0.2,0.3333333333333333,0.2
013,0.5379746835443038,0.5379746835443038,0.5379746835443038,0.3641577060931899,0.36111111111111116,0.35753086419753083,0.5730910575745202,0.5379746835443038,0.5479606188466948,0.5379746835443038
014,0.6044303797468354,0.6044303797468354,0.6044303797468354,0.3333333333333333,0.20147679324894516,0.2511505588428665,1.0,0.6044303797468354,0.7534516765285996,0.6044303797468354
015,0.7310126582278481,0.7310126582278481,0.7310126582278481,0.3930287283066967,0.506729667812142,0.3855598558654744,0.9150189705865925,0.7310126582278481,0.7930718459591821,0.7310126582278481
016,0.7056962025316456,0.7056962025316456,0.7056962025316456,0.5248025803581359,0.636136849607983,0.5301363655090018,0.8490922356956112,0.7056962025316456,0.7318938529918382,0.7056962025316456
017,0.29430379746835444,0.29430379746835444,0.29430379746835444,0.27027027027027023,0.38738738738738737,0.2840294840294841,0.11392405063291139,0.29430379746835444,0.16260069044879175,0.29430379746835444
018,0.740506329113924,0.740506329113924,0.740506329113924,0.4639730639730639,0.46057672917926995,0.4621334409470002,0.7564058304564634,0.740506329113924,0.7482223311980875,0.740506329113924
019,0.7563291139240507,0.7563291139240507,0.7563291139240507,0.3333333333333333,0.2529100529100529,0.28760529482551145,0.9968354430379747,0.7563291139240507,0.8600854544623682,0.7563291139240507
020,0.759493670886076,0.759493670886076,0.759493670886076,0.5768763796909492,0.6289718636595532,0.5914312617702447,0.7859805935116103,0.759493670886076,0.7641233998426661,0.759493670886076
021,0.7873015873015873,0.7873015873015873,0.7873015873015873,0.4589831565814098,0.4935415974299324,0.4696969696969697,0.8257844913802493,0.7873015873015873,0.8012987012987013,0.7873015873015873
022,0.8860759493670886,0.8860759493670886,0.8860759493670886,0.5637037037037037,0.583547879568047,0.5723258331301048,0.8931153305203937,0.8860759493670886,0.8883591226440584,0.8860759493670886
023,0.8512658227848101,0.8512658227848101,0.8512658227848101,0.4614529116063881,0.5285714285714286,0.48192419050654767,0.8981230583143424,0.8512658227848101,0.8686619338269931,0.8512658227848101
024,0.16455696202531644,0.16455696202531644,0.16455696202531644,0.3333333333333333,0.05485232067510548,0.09420289855072463,1.0,0.16455696202531644,0.2826086956521739,0.16455696202531644
025,0.7816455696202531,0.7816455696202531,0.7816455696202531,0.5562030562030561,0.41797741480137124,0.42958563724486315,0.807308725030244,0.7816455696202531,0.7419878317178948,0.7816455696202531
026,0.5443037974683544,0.5443037974683544,0.5443037974683544,0.3333333333333333,0.18143459915611815,0.23497267759562843,1.0,0.5443037974683544,0.7049180327868853,0.5443037974683544
027,0.07278481012658228,0.07278481012658228,0.07278481012658228,0.3333333333333333,0.024261603375527425,0.04523107177974434,1.0,0.07278481012658228,0.13569321533923304,0.07278481012658228
028,0.00949367088607595,0.00949367088607595,0.00949367088607595,0.3333333333333333,0.0031645569620253164,0.006269592476489029,1.0,0.00949367088607595,0.018808777429467086,0.00949367088607595
029,0.5158227848101266,0.5158227848101266,0.5158227848101266,0.3333333333333333,0.17194092827004218,0.2268615170494085,1.0,0.5158227848101266,0.6805845511482255,0.5158227848101266
030,0.056962025316455694,0.056962025316455694,0.056962025316455694,0.3333333333333333,0.0189873417721519,0.03592814371257485,1.0,0.056962025316455694,0.10778443113772455,0.056962025316455694
031,0.11075949367088607,0.11075949367088607,0.11075949367088607,0.3333333333333333,0.03691983122362869,0.06647673314339982,1.0,0.11075949367088607,0.19943019943019943,0.11075949367088607
032,0.4272151898734177,0.4272151898734177,0.4272151898734177,0.3333333333333333,0.14240506329113925,0.19955654101995565,1.0,0.4272151898734177,0.5986696230598669,0.4272151898734177
033,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
034,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0
035,0.6816608996539792,0.6816608996539792,0.6816608996539792,0.3333333333333333,0.22722029988465975,0.27023319615912206,1.0,0.6816608996539792,0.8106995884773662,0.6816608996539792
036,0.43354430379746833,0.43354430379746833,0.43354430379746833,0.4268292682926829,0.4254742547425474,0.29040541906783945,0.8397267675208399,0.43354430379746833,0.432836525725343,0.43354430379746833
037,0.4050632911392405,0.4050632911392405,0.4050632911392405,0.40810779349281184,0.46983151183970856,0.3971969696969697,0.46353128529528137,0.4050632911392405,0.3790319332566168,0.4050632911392405
038,0.40822784810126583,0.40822784810126583,0.40822784810126583,0.3158468515611373,0.31294865472080663,0.2680822002855901,0.594406384754486,0.40822784810126583,0.4362632647335501,0.40822784810126583
039,0.7684887459807074,0.7684887459807074,0.7684887459807074,0.5012531328320802,0.569272976680384,0.49963855421686754,0.8898774266856851,0.7684887459807074,0.792014488823461,0.7684887459807074
AVERAGE,0.5251448998566252,0.5251448998566252,0.5251448998566252,0.40761909780433003,0.34571335347572596,0.3083970655184093,0.8387503095832309,0.5251448998566252,0.557174430307706,0.5251448998566252
