start_time(s),end_time(s),label
0.0,10.73,NoGesture
10.73,11.55,Gesture
11.55,31.99,NoGesture
31.99,34.19,Gesture
34.19,39.26,NoGesture
39.26,40.27,Gesture
40.27,46.47,NoGesture
46.47,47.68,Gesture
47.68,47.74,NoGesture
47.74,48.52,Gesture
48.52,50.36,NoGesture
50.36,54.85,Gesture
54.85,64.36,NoGesture
64.36,71.69,Gesture
71.69,71.98,NoGesture
71.98,73.59,Gesture
73.59,74.45,NoGesture
74.45,87.91,Gesture
87.91,89.96,NoGesture
89.96,98.71,Gesture
98.71,105.29,NoGesture
105.29,126.38,Gesture
126.38,155.11,NoGesture
155.11,158.17,Gesture
158.17,164.42,NoGesture
164.42,177.54,Gesture
177.54,178.41,NoGesture
178.41,184.0,Gesture
184.0,184.33,NoGesture
184.33,188.26,Gesture
188.26,191.29,NoGesture
191.29,193.2,Gesture
193.2,196.335,NoGesture
196.335,201.81,Gesture
201.81,202.015,NoGesture
202.015,206.495,Gesture
206.495,207.007,NoGesture
207.007,210.347,Gesture
210.347,211.417,NoGesture
211.417,214.617,Gesture
214.617,214.697,NoGesture
214.697,215.937,Gesture
215.937,220.977,NoGesture
220.977,221.937,Gesture
221.937,224.741,NoGesture
224.741,228.341,Gesture
228.341,232.68,NoGesture
232.68,236.0,Gesture
236.0,248.079,NoGesture
248.079,249.889,Gesture
249.889,251.15,NoGesture
251.15,263.809,Gesture
263.809,277.63,NoGesture
277.63,279.21,Gesture
279.21,279.83,NoGesture
279.83,281.97,Gesture
281.97,291.76,NoGesture
291.76,296.63,Gesture
296.63,316.02,NoGesture
316.02,350.03,Gesture
350.03,352.69,NoGesture
352.69,353.84,Gesture
353.84,354.58,NoGesture
354.58,378.865,Gesture
378.865,379.565,NoGesture
379.565,407.75,Gesture
407.75,408.74,NoGesture
408.74,419.74,Gesture
419.74,422.66,NoGesture
422.66,431.08,Gesture
431.08,431.68,NoGesture
431.68,441.91,Gesture
441.91,442.32,NoGesture
442.32,449.47,Gesture
449.47,449.56,NoGesture
449.56,451.51,Gesture
451.51,451.6,NoGesture
451.6,452.59,Gesture
452.59,452.69,NoGesture
452.69,499.28,Gesture
499.28,532.791,NoGesture
532.791,543.33,Gesture
543.33,555.961,NoGesture
555.961,558.04,Gesture
558.04,563.32,NoGesture
563.32,564.67,Gesture
564.67,565.06,NoGesture
565.06,566.87,Gesture
566.87,570.14,NoGesture
570.14,571.75,Gesture
571.75,573.56,NoGesture
573.56,576.29,Gesture
576.29,577.84,NoGesture
577.84,579.03,Gesture
579.03,583.77,NoGesture
583.77,584.57,Gesture
584.57,589.87,NoGesture
589.87,599.17,Gesture
599.17,602.44,NoGesture
602.44,603.32,Gesture
603.32,608.01,NoGesture
608.01,613.85,Gesture
613.85,616.759,NoGesture
616.759,635.28,Gesture
635.28,636.02,NoGesture
636.02,727.87,Gesture
727.87,737.57,NoGesture
737.57,738.78,Gesture
738.78,744.81,NoGesture
744.81,749.78,Gesture
749.78,749.89,NoGesture
749.89,751.28,Gesture
751.28,751.44,NoGesture
751.44,763.23,Gesture
763.23,771.91,NoGesture
771.91,775.27,Gesture
775.27,785.76,NoGesture
785.76,786.38,Gesture
786.38,796.07,NoGesture
796.07,796.87,Gesture
796.87,807.17,NoGesture
807.17,808.36,Gesture
808.36,809.84,NoGesture
809.84,810.87,Gesture
810.87,816.52,NoGesture
