start_time(s),end_time(s),label
0.0,7.94,NoGesture
7.94,9.21,Gesture
9.21,9.57,NoGesture
9.57,11.26,Gesture
11.26,12.68,NoGesture
12.68,13.08,Gesture
13.08,14.66,NoGesture
14.66,15.85,Gesture
15.85,18.21,NoGesture
18.21,24.16,Gesture
24.16,31.79,NoGesture
31.79,37.53,Gesture
37.53,42.03,NoGesture
42.03,52.28,Gesture
52.28,52.46,NoGesture
52.46,55.39,Gesture
55.39,67.926,NoGesture
67.926,69.466,Gesture
69.466,74.33,NoGesture
74.33,77.55,Gesture
77.55,79.97,NoGesture
79.97,81.71,Gesture
81.71,82.68,NoGesture
82.68,90.06,Gesture
90.06,91.61,NoGesture
91.61,93.61,Gesture
93.61,103.296,NoGesture
103.296,107.146,Gesture
107.146,108.64,NoGesture
108.64,111.16,Gesture
111.16,113.58,NoGesture
113.58,115.76,Gesture
115.76,120.785,NoGesture
120.785,122.845,Gesture
122.845,139.431,NoGesture
139.431,141.711,Gesture
141.711,142.971,NoGesture
142.971,146.901,Gesture
146.901,147.22,NoGesture
147.22,157.091,Gesture
157.091,157.861,NoGesture
157.861,160.65,Gesture
160.65,161.11,NoGesture
161.11,166.22,Gesture
166.22,167.49,NoGesture
167.49,169.18,Gesture
169.18,170.01,NoGesture
170.01,172.09,Gesture
172.09,173.8,NoGesture
173.8,175.31,Gesture
175.31,175.54,NoGesture
175.54,176.28,Gesture
176.28,177.61,NoGesture
177.61,182.65,Gesture
182.65,188.59,NoGesture
188.59,191.02,Gesture
191.02,192.604,NoGesture
192.604,194.634,Gesture
194.634,200.11,NoGesture
200.11,202.1,Gesture
202.1,203.75,NoGesture
203.75,204.58,Gesture
204.58,217.26,NoGesture
217.26,219.99,Gesture
219.99,220.0,NoGesture
220.0,221.44,Gesture
221.44,225.91,NoGesture
225.91,227.56,Gesture
227.56,228.3,NoGesture
228.3,230.03,Gesture
230.03,230.04,NoGesture
230.04,233.64,Gesture
233.64,235.43,NoGesture
235.43,236.3,Gesture
236.3,236.97,NoGesture
236.97,238.07,Gesture
238.07,238.11,NoGesture
238.11,245.42,Gesture
245.42,246.35,NoGesture
246.35,255.22,Gesture
255.22,255.81,NoGesture
255.81,256.56,Gesture
256.56,259.12,NoGesture
259.12,260.56,Gesture
260.56,261.36,NoGesture
261.36,263.99,Gesture
263.99,264.82,NoGesture
264.82,266.41,Gesture
266.41,267.15,NoGesture
267.15,272.07,Gesture
272.07,272.7,NoGesture
272.7,273.56,Gesture
273.56,276.13,NoGesture
276.13,277.11,Gesture
277.11,279.17,NoGesture
279.17,280.27,Gesture
280.27,285.861,NoGesture
285.861,287.871,Gesture
287.871,294.071,NoGesture
294.071,298.93,Gesture
298.93,303.691,NoGesture
303.691,305.431,Gesture
305.431,306.08,NoGesture
306.08,310.56,Gesture
310.56,310.59,NoGesture
310.59,311.41,Gesture
311.41,316.904,NoGesture
316.904,319.234,Gesture
319.234,320.44,NoGesture
320.44,323.4,Gesture
323.4,328.564,NoGesture
328.564,331.094,Gesture
331.094,340.72,NoGesture
340.72,347.03,Gesture
347.03,347.65,NoGesture
347.65,349.19,Gesture
349.19,352.23,NoGesture
352.23,353.36,Gesture
353.36,370.02,NoGesture
370.02,377.41,Gesture
377.41,378.15,NoGesture
378.15,383.14,Gesture
383.14,386.12,NoGesture
386.12,389.32,Gesture
389.32,389.76,NoGesture
389.76,391.49,Gesture
391.49,391.61,NoGesture
391.61,406.3,Gesture
406.3,412.11,NoGesture
412.11,415.81,Gesture
415.81,416.72,NoGesture
416.72,420.79,Gesture
420.79,422.406,NoGesture
422.406,424.126,Gesture
424.126,431.26,NoGesture
431.26,453.33,Gesture
453.33,455.23,NoGesture
455.23,456.83,Gesture
456.83,459.53,NoGesture
459.53,463.03,Gesture
463.03,464.25,NoGesture
464.25,465.59,Gesture
465.59,466.14,NoGesture
466.14,468.12,Gesture
468.12,471.75,NoGesture
471.75,472.77,Gesture
472.77,473.65,NoGesture
473.65,474.24,Gesture
474.24,477.2,NoGesture
477.2,480.69,Gesture
480.69,490.05,NoGesture
490.05,491.43,Gesture
491.43,493.09,NoGesture
493.09,494.49,Gesture
494.49,497.88,NoGesture
497.88,500.17,Gesture
500.17,508.1,NoGesture
508.1,509.21,Gesture
509.21,520.12,NoGesture
