start_time(s),end_time(s),label
0.0,14.99,NoGesture
14.99,16.26,Gesture
16.26,26.64,NoGesture
26.64,27.07,Gesture
27.07,33.31,NoGesture
33.31,35.4,Gesture
35.4,36.88,NoGesture
36.88,41.48,Gesture
41.48,42.08,NoGesture
42.08,45.86,Gesture
45.86,63.66,NoGesture
63.66,64.56,Gesture
64.56,65.38,NoGesture
65.38,66.46,Gesture
66.46,67.66,NoGesture
67.66,68.26,Gesture
68.26,68.47,NoGesture
68.47,72.41,Gesture
72.41,72.68,NoGesture
72.68,73.4,Gesture
73.4,78.83,NoGesture
78.83,81.53,Gesture
81.53,82.64,NoGesture
82.64,84.07,Gesture
84.07,85.25,NoGesture
85.25,86.0,Gesture
86.0,92.14,NoGesture
92.14,93.61,Gesture
93.61,101.03,NoGesture
101.03,101.97,Gesture
101.97,102.3,NoGesture
102.3,102.87,Gesture
102.87,107.98,NoGesture
107.98,110.47,Gesture
110.47,112.34,NoGesture
112.34,113.2,Gesture
113.2,134.03,NoGesture
134.03,142.26,Gesture
142.26,144.27,NoGesture
144.27,145.24,Gesture
145.24,152.41,NoGesture
152.41,163.79,Gesture
163.79,165.28,NoGesture
165.28,172.68,Gesture
172.68,177.64,NoGesture
177.64,179.9,Gesture
179.9,185.01,NoGesture
185.01,193.21,Gesture
193.21,193.8,NoGesture
193.8,196.37,Gesture
196.37,196.7,NoGesture
196.7,197.57,Gesture
197.57,198.28,NoGesture
198.28,199.0,Gesture
199.0,206.353,NoGesture
206.353,207.493,Gesture
207.493,208.293,NoGesture
208.293,210.943,Gesture
210.943,237.073,NoGesture
237.073,239.383,Gesture
239.383,246.76,NoGesture
246.76,251.91,Gesture
251.91,262.987,NoGesture
262.987,263.527,Gesture
263.527,268.497,NoGesture
268.497,269.337,Gesture
269.337,273.997,NoGesture
273.997,275.267,Gesture
275.267,276.627,NoGesture
276.627,280.55,Gesture
280.55,290.297,NoGesture
290.297,297.557,Gesture
297.557,304.1,NoGesture
304.1,305.86,Gesture
305.86,306.237,NoGesture
306.237,309.447,Gesture
309.447,310.507,NoGesture
310.507,315.677,Gesture
315.677,316.067,NoGesture
316.067,317.987,Gesture
317.987,320.377,NoGesture
320.377,325.68,Gesture
325.68,332.547,NoGesture
332.547,333.227,Gesture
333.227,345.017,NoGesture
345.017,345.537,Gesture
345.537,346.55,NoGesture
346.55,348.197,Gesture
348.197,348.737,NoGesture
348.737,350.14,Gesture
350.14,350.99,NoGesture
350.99,355.447,Gesture
355.447,361.907,NoGesture
361.907,362.757,Gesture
362.757,365.727,NoGesture
365.727,367.387,Gesture
367.387,367.937,NoGesture
367.937,368.637,Gesture
368.637,391.96,NoGesture
