start_time(s),end_time(s),label
0.0,8.04,NoGesture
8.04,37.13,Gesture
37.13,39.92,NoGesture
39.92,43.53,Gesture
43.53,44.5,NoGesture
44.5,46.86,Gesture
46.86,47.37,NoGesture
47.37,48.71,Gesture
48.71,49.4,NoGesture
49.4,50.23,Gesture
50.23,52.34,NoGesture
52.34,53.22,Gesture
53.22,53.73,NoGesture
53.73,54.54,Gesture
54.54,54.94,NoGesture
54.94,56.25,Gesture
56.25,57.33,NoGesture
57.33,58.53,Gesture
58.53,60.71,NoGesture
60.71,62.4,Gesture
62.4,63.31,NoGesture
63.31,64.86,Gesture
64.86,65.68,NoGesture
65.68,66.45,Gesture
66.45,69.99,NoGesture
69.99,71.91,Gesture
71.91,74.26,NoGesture
74.26,77.82,Gesture
77.82,78.15,NoGesture
78.15,83.04,Gesture
83.04,83.83,NoGesture
83.83,86.1,Gesture
86.1,102.14,NoGesture
102.14,104.76,Gesture
104.76,105.69,NoGesture
105.69,107.01,Gesture
107.01,107.7,NoGesture
107.7,109.22,Gesture
109.22,109.84,NoGesture
109.84,112.31,Gesture
112.31,113.76,NoGesture
113.76,117.35,Gesture
117.35,121.846,NoGesture
121.846,124.51,Gesture
124.51,126.73,NoGesture
126.73,127.88,Gesture
127.88,130.66,NoGesture
130.66,133.23,Gesture
133.23,136.65,NoGesture
136.65,137.69,Gesture
137.69,137.86,NoGesture
137.86,138.77,Gesture
138.77,141.04,NoGesture
141.04,142.48,Gesture
142.48,147.71,NoGesture
147.71,148.66,Gesture
148.66,149.03,NoGesture
149.03,151.08,Gesture
151.08,157.538,NoGesture
157.538,161.248,Gesture
161.248,161.5,NoGesture
161.5,166.7,Gesture
166.7,177.87,NoGesture
177.87,178.63,Gesture
178.63,182.15,NoGesture
182.15,184.53,Gesture
184.53,185.14,NoGesture
185.14,188.8,Gesture
188.8,192.11,NoGesture
192.11,202.12,Gesture
202.12,205.56,NoGesture
205.56,207.02,Gesture
207.02,211.69,NoGesture
211.69,213.62,Gesture
213.62,213.85,NoGesture
213.85,218.05,Gesture
218.05,218.5,NoGesture
218.5,219.72,Gesture
219.72,221.11,NoGesture
221.11,226.32,Gesture
226.32,229.62,NoGesture
229.62,231.77,Gesture
231.77,235.77,NoGesture
235.77,237.79,Gesture
237.79,239.55,NoGesture
239.55,242.32,Gesture
242.32,242.61,NoGesture
242.61,243.83,Gesture
243.83,244.52,NoGesture
244.52,247.99,Gesture
247.99,250.84,NoGesture
250.84,254.55,Gesture
254.55,257.64,NoGesture
257.64,262.56,Gesture
262.56,263.07,NoGesture
263.07,263.79,Gesture
263.79,266.44,NoGesture
266.44,271.02,Gesture
271.02,271.67,NoGesture
271.67,273.23,Gesture
273.23,275.29,NoGesture
275.29,276.82,Gesture
276.82,278.13,NoGesture
278.13,280.51,Gesture
280.51,282.09,NoGesture
282.09,283.97,Gesture
283.97,285.65,NoGesture
285.65,286.46,Gesture
286.46,287.52,NoGesture
287.52,288.99,Gesture
288.99,289.33,NoGesture
289.33,290.9,Gesture
290.9,291.02,NoGesture
291.02,294.79,Gesture
294.79,295.48,NoGesture
295.48,297.99,Gesture
297.99,305.55,NoGesture
305.55,309.25,Gesture
309.25,315.0,NoGesture
315.0,315.93,Gesture
315.93,319.08,NoGesture
319.08,320.9,Gesture
320.9,321.69,NoGesture
321.69,323.45,Gesture
323.45,324.37,NoGesture
324.37,326.12,Gesture
326.12,326.21,NoGesture
326.21,327.627,Gesture
327.627,335.09,NoGesture
335.09,337.57,Gesture
337.57,337.73,NoGesture
337.73,340.69,Gesture
340.69,345.51,NoGesture
345.51,348.94,Gesture
348.94,350.12,NoGesture
350.12,353.32,Gesture
353.32,363.014,NoGesture
363.014,366.624,Gesture
366.624,367.574,NoGesture
367.574,368.764,Gesture
368.764,379.708,NoGesture
379.708,381.768,Gesture
381.768,382.448,NoGesture
382.448,384.74,Gesture
384.74,388.338,NoGesture
388.338,392.148,Gesture
392.148,393.018,NoGesture
393.018,397.45,Gesture
397.45,401.108,NoGesture
401.108,403.198,Gesture
403.198,403.878,NoGesture
403.878,405.37,Gesture
405.37,407.266,NoGesture
407.266,408.278,Gesture
408.278,419.638,NoGesture
419.638,422.188,Gesture
422.188,423.128,NoGesture
423.128,426.47,Gesture
