framename,precision,recall,f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,accuracy
000,0.6962025316455697,0.6962025316455697,0.6962025316455697,0.3501400560224089,0.34272920795713135,0.33915995002598204,0.647085416445059,0.6962025316455697,0.6646365246700879,0.6962025316455697
001,0.8512658227848101,0.8512658227848101,0.8512658227848101,0.4611872146118721,0.6132404181184669,0.4891114111411141,0.9422143228715103,0.8512658227848101,0.8782309006217077,0.8512658227848101
002,0.6930379746835443,0.6930379746835443,0.6930379746835443,0.3333333333333333,0.2310126582278481,0.27289719626168224,1.0,0.6930379746835443,0.8186915887850468,0.6930379746835443
003,0.4050632911392405,0.4050632911392405,0.4050632911392405,0.4616228070175439,0.35185185185185186,0.2203608784431387,0.7690810293137907,0.4050632911392405,0.27174994975637773,0.4050632911392405
004,0.2848101265822785,0.2848101265822785,0.2848101265822785,0.22722601482786464,0.24270353302611367,0.1881420416375501,0.37987750147042837,0.2848101265822785,0.2624414800054201,0.2848101265822785
005,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.3333333333333333,0.042328042328042326,0.07511737089201878,0.9968354430379747,0.12658227848101267,0.2246389730789802,0.12658227848101267
006,0.870253164556962,0.870253164556962,0.870253164556962,0.3333333333333333,0.291005291005291,0.3107344632768361,0.9968354430379747,0.870253164556962,0.9292533791031967,0.870253164556962
007,0.9651898734177216,0.9651898734177216,0.9651898734177216,0.6666666666666666,0.6550264550264551,0.6607431340872375,1.0,0.9651898734177216,0.9822856383305044,0.9651898734177216
008,0.870253164556962,0.870253164556962,0.870253164556962,0.3333333333333333,0.291005291005291,0.3107344632768361,0.9968354430379747,0.870253164556962,0.9292533791031967,0.870253164556962
009,0.6139240506329114,0.6139240506329114,0.6139240506329114,0.5388462194913808,0.6814102564102563,0.5428791797105395,0.5753052752338175,0.6139240506329114,0.5436689047281849,0.6139240506329114
010,0.5221518987341772,0.5221518987341772,0.5221518987341772,0.3333333333333333,0.17405063291139242,0.2286902286902287,1.0,0.5221518987341772,0.6860706860706861,0.5221518987341772
011,0.8386075949367089,0.8386075949367089,0.8386075949367089,0.5716308512410461,0.564625850340136,0.5633946205688921,0.8593907160343879,0.8386075949367089,0.8418533389932338,0.8386075949367089
012,0.15822784810126583,0.15822784810126583,0.15822784810126583,0.17921146953405018,0.06127450980392157,0.091324200913242,0.4627739213284333,0.15822784810126583,0.2358245188139414,0.15822784810126583
013,0.4050632911392405,0.4050632911392405,0.4050632911392405,0.3333333333333333,0.1350210970464135,0.1921921921921922,1.0,0.4050632911392405,0.5765765765765766,0.4050632911392405
014,0.18037974683544303,0.18037974683544303,0.18037974683544303,0.3333333333333333,0.06012658227848101,0.10187667560321716,1.0,0.18037974683544303,0.30563002680965146,0.18037974683544303
015,0.5791139240506329,0.5791139240506329,0.5791139240506329,0.3333333333333333,0.1930379746835443,0.24448897795591182,1.0,0.5791139240506329,0.7334669338677354,0.5791139240506329
